initial date: 2024-02-17, Fecha actual: 2026-02-17
percentil(%),pendent2y,pendent6m,slope1m,slope6d,volatilitat(%),guany esperat(%),perdua max(%),rsi14,relVol30,etiqueta
2,-0.176,-0.456,-0.100,-0.096,61,139,-8,52.6,6.66,HAR.F
0,-0.092,-0.667,-0.086,-0.029,65,188,0,0.0,11.45,TRIP.MX
85,0.164,0.111,0.000,-0.000,43,0,-75,100.0,-1.00,EA.MX
76,0.168,0.040,0.196,-1.849,58,18,-104,53.9,0.77,URBN
0,-0.179,-0.175,-0.174,-0.155,56,122,-3,23.8,1.20,ADBE
36,0.158,-0.486,-0.433,-0.653,59,74,-40,24.8,0.84,NFLX
94,0.147,-0.122,0.407,1.107,55,11,-101,82.0,0.65,MSI.BA
99,0.121,0.199,0.161,-0.029,89,3,-822,59.6,0.93,WDC
94,0.077,0.301,0.000,-0.000,77,0,-337,100.0,-1.00,MTE.BE
32,-0.132,0.197,-0.553,-1.008,66,105,-43,45.1,0.65,ANF
71,0.057,0.386,-1.196,-1.088,30,12,-28,30.0,4.15,AGNC.MX
9,0.086,-0.512,-1.267,-0.441,49,65,-20,11.8,0.53,ADSK.MX
42,0.155,-0.379,-1.916,1.552,67,105,-48,35.4,0.68,ORCL
100,0.027,0.459,0.406,0.206,37,0,-59,72.6,0.73,LMT
86,0.171,0.096,0.004,-0.756,67,13,-171,46.7,0.95,NVDA
100,-0.035,0.849,0.306,0.120,47,0,-89,93.3,0.90,FDX
62,0.099,-0.242,-0.402,-0.544,73,75,-113,52.2,1.32,CAR
93,0.060,0.292,-0.264,-0.681,53,19,-78,27.1,1.18,BIDU
67,0.005,0.291,0.642,-4.065,37,23,-29,44.5,0.85,SBUX
86,0.058,0.551,1.694,-1.786,33,5,-43,61.5,0.00,AMGN.MX
21,0.105,-0.273,-0.641,-2.496,37,36,-17,35.7,1.53,CHKP
39,0.003,-0.710,1.576,2.771,39,36,-21,50.2,0.67,MOSC34.SA
23,-0.122,-0.035,0.754,1.460,37,36,-17,74.3,0.00,DP5.SG
