initial date: 2024-02-14, Fecha actual: 2026-02-14
percentil(%)  -  pendent anual  - volatilitat(%) - guany esperat(%) - etiqueta 
11,-0.135,100,118,-29,0HTQ.L
92,-0.060,38,8,-50,TII.HA
0,-0.097,37,56,-2,MSN.F
21,-0.012,22,22,-6,EDC.BE
45,-0.030,48,51,-28,O1KE34.SA
93,-0.085,33,4,-44,CXR.F
100,0.193,53,0,-114,ETR
39,0.042,32,8,-36,D.MX
34,0.074,50,52,-32,JEF
27,0.086,43,46,-20,AMP.MX
78,-0.015,65,49,-95,VFC.VI
16,0.174,46,47,-26,ADP.BA
98,0.008,100,0,-25,^CRWDLUXG
2,-0.186,52,103,-2,CDW
98,0.175,100,1,-68,0M1R.L
59,0.121,29,11,-27,PP9.MU
38,-0.185,73,120,-71,HTR.F
79,-0.136,49,21,-63,SWK
5,-0.175,73,177,-34,LTD0.BE
55,-0.027,29,22,-15,SJ3.SG
9,-0.129,14,13,-2,BKT
95,0.123,52,4,-102,ROST.BA
89,0.048,37,13,-41,SREN.VI
93,-0.127,43,10,-59,SLB
93,0.175,44,9,-63,ZYA.SG
44,0.151,42,16,-48,UNM
99,0.142,36,2,-53,HI91.F
63,-0.050,28,11,-25,PG4.SG
37,-0.028,39,38,-20,AP3.DU
56,0.108,32,20,-21,ZAS.MU
96,0.002,100,4,-26,0L3C.L
3,-0.137,36,42,-10,MGM.MX
77,-0.043,32,22,-20,GWW.VI
15,0.100,48,65,-18,GAV.F
87,0.082,35,9,-41,BBK.F
63,-0.090,66,62,-83,AWN.MU
94,0.075,28,0,-38,ALLY1.MX
24,-0.063,43,32,-33,AGJ.BE
100,0.187,77,0,-332,GLW
53,0.102,22,10,-16,SYK
1,-0.167,71,210,-10,MOH
0,0.000,71,210,-10,DC7.BE
94,0.176,37,4,-54,GNW
32,-0.148,51,51,-36,EAC.F
71,0.142,32,14,-29,AZO.VI
2,-0.191,92,1012,-8,6OM.BE
7,-0.174,45,67,-9,HRL.VI
